NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
Yayla Sokak Parkı,28.9250815948977,41.0811977071569,AKŞEMSETTİN,EYÜPSULTAN
Stad Parkı,28.9143553940026,40.9946468879565,TELSİZ,ZEYTİNBURNU
Kadriye Gök Parkı,28.8998723752388,40.9900613788238,NURİPAŞA,ZEYTİNBURNU
Çukurbostan Parkı,28.9336379793672,41.011340820794,ŞEHREMİNİ,FATİH
Tutya Parkı,28.9373598721487,41.00975266887,SEYYİD ÖMER,FATİH
Park,28.8037979083769,41.0954297731247,BAŞAK,BAŞAKŞEHİR
Park,28.7913835567888,40.9874175106284,ŞENLİKKÖY,BAKIRKÖY
Aykan Parkı,28.798494165236,41.0340290678947,HALKALI MERKEZ,KÜÇÜKÇEKMECE
Park,28.9754650136279,41.0351371958467,KAMER HATUN,BEYOĞLU
Çocuk Parkı,28.8754353155221,40.9874489229361,KARTALTEPE,BAKIRKÖY
Park,28.7841697497332,41.0554994086696,ATAKENT,KÜÇÜKÇEKMECE
Ayaz Parkı,28.9912138901057,41.0860865548388,ŞİRİNTEPE,KAĞITHANE
Park,28.7738720197189,40.9943864517645,YENİ MAHALLE,KÜÇÜKÇEKMECE
Park,28.7931958728524,41.0385091474059,HALKALI MERKEZ,KÜÇÜKÇEKMECE
Çocuk Parkı,28.7891128582211,41.0069887520529,FEVZİ ÇAKMAK,KÜÇÜKÇEKMECE
Park,28.8008647746252,41.0445738129807,ATAKENT,KÜÇÜKÇEKMECE
Günbattı Parkı,29.0742934737157,41.0342013492619,FERAH,ÜSKÜDAR
Ilgaz Parkı,29.0706818771322,40.9963666821028,ÜNALAN,ÜSKÜDAR
Park,29.0391983802259,41.01439391108,BARBAROS,ÜSKÜDAR
Park,29.0775345988639,41.0028808560138,FETİH,ATAŞEHİR
Yeşil Alan,29.0093476020012,41.0884303558993,KONAKLAR,BEŞİKTAŞ
Park,28.9034400530239,41.0739916192152,YENİ MAHALLE,GAZİOSMANPAŞA
Park,29.0751486658618,41.0282793974963,KISIKLI,ÜSKÜDAR
Park,29.1185240442713,40.9867646862414,KÜÇÜKBAKKALKÖY,ATAŞEHİR
Park,29.1541431223295,40.9911763936222,MEVLANA,ATAŞEHİR
Çocuk Parkı,28.9123409899422,41.0835694692417,KAZIM KARABEKİR,GAZİOSMANPAŞA
Park,28.9157762596939,41.0015302664482,KAZLIÇEŞME,ZEYTİNBURNU
Behçet Köseoğlu Parkı,29.1776467135068,41.0180314306768,NECİP FAZIL,ÜMRANİYE
Bella Park,28.641234253193,41.0166893592286,BARBAROS HAYRETTİN PAŞA,ESENYURT
Park,29.0906891587528,41.0281175774512,ATATÜRK,ÜMRANİYE
Park,29.0359284078732,41.0190187201184,ALTUNİZADE,ÜSKÜDAR
Park,29.0860036675805,41.0022640793221,ESATPAŞA,ATAŞEHİR
Park,29.1651748993541,41.0152800824715,NECİP FAZIL,ÜMRANİYE
Park,29.128948717914,40.9889227444084,ATATÜRK,ATAŞEHİR
Park,29.1428851741602,40.942125855371,GİRNE,MALTEPE
Park,28.8437538605454,41.046961505869,DEMİRKAPI,BAĞCILAR
Bağcılar Belediyesi Kızılcık Bahçesi,28.8664083648739,41.030643838403,MERKEZ,BAĞCILAR
Park,29.1274457646521,40.9237652635055,FEYZULLAH,MALTEPE
Park,28.0529754662696,41.0522106015782,GÜMÜŞYAKA,SİLİVRİ
Sultan Mehmet Parkı,28.7034785795382,41.2247790806014,FATİH,ARNAVUTKÖY
Akasya Koru Evleri Parkı,29.054902328107,41.003266117274,ACIBADEM,ÜSKÜDAR
Kartanesi Parkı,29.2174396621113,41.0140205090544,İNÖNÜ,SANCAKTEPE
İBB Çay Bahçesi ve Parkı,28.2520705296466,41.0781668187239,YENİ,SİLİVRİ
Yunus Emre Parkı,29.0921700860932,41.0134035559162,ESENEVLER,ÜMRANİYE
Park,29.1293863310668,40.9894904068647,ATATÜRK,ATAŞEHİR
Park,29.1530627577934,40.9902148039393,MEVLANA,ATAŞEHİR
Park,29.0782082717076,41.0019717707047,FETİH,ATAŞEHİR
Park,29.1302770219082,40.9294846389963,ALTAYÇEŞME,MALTEPE
Park,29.102680004036,41.0304148301345,İNKILAP,ÜMRANİYE
